Plate	Sample	Well	Flag	Comment
*	*	B01	NA	contamination given wrong dilution
*	*	B02	NA	contamination given wrong dilution
*	*	B23	NA	contamination given wrong dilution
*	*	B24	NA	contamination given wrong dilution
*	*	D01	NA	contamination given wrong dilution
*	*	D02	NA	contamination given wrong dilution
*	*	D23	NA	contamination given wrong dilution
*	*	D24	NA	contamination given wrong dilution
*	*	F01	NA	contamination given wrong dilution
*	*	F02	NA	contamination given wrong dilution
*	*	F23	NA	contamination given wrong dilution
*	*	F24	NA	contamination given wrong dilution
*	*	H01	NA	contamination given wrong dilution
*	*	H02	NA	contamination given wrong dilution
*	*	H23	NA	contamination given wrong dilution
*	*	H24	NA	contamination given wrong dilution
*	*	J01	NA	contamination given wrong dilution
*	*	J02	NA	contamination given wrong dilution
*	*	J23	NA	contamination given wrong dilution
*	*	J24	NA	contamination given wrong dilution
*	*	L01	NA	contamination given wrong dilution
*	*	L02	NA	contamination given wrong dilution
*	*	L23	NA	contamination given wrong dilution
*	*	L24	NA	contamination given wrong dilution
*	*	N01	NA	contamination given wrong dilution
*	*	N02	NA	contamination given wrong dilution
*	*	N23	NA	contamination given wrong dilution
*	*	N24	NA	contamination given wrong dilution
*	*	P01	NA	contamination given wrong dilution
*	*	P02	NA	contamination given wrong dilution
*	*	P23	NA	contamination given wrong dilution
*	*	P24	NA	contamination given wrong dilution
3	*	L21	NA	contamination aliquoting problems
4	*	N08	NA	contamination aliquoting problems
2	*	O12	NA	fluorecent drug causing segmentation problem
3	*	I18	NA	contamination in cell line PARENTAL001 replicate1
